topicID,topicName,meetingNum,votingDate
36,Návrh na potvrzení platnosti usnesení- kterımi Poslanecká snìmovna upr,2,28. 11. 2017 17:05
37,Náv. zasedacího poøádku poslancù v jedn. sále PS,2,28. 11. 2017 17:12
38,Náv. zasedacího poøádku poslancù v jedn. sále PS,2,28. 11. 2017 17:13
39,Náv. zasedacího poøádku poslancù v jedn. sále PS,2,28. 11. 2017 17:14
40,Náv. zasedacího poøádku poslancù v jedn. sále PS,2,28. 11. 2017 17:14
41,Návrh na zøízení stálıch komisí PS,2,28. 11. 2017 17:39
42,Návrh na zøízení SK GIBS a zpùsobu jejího ustavení nebo volby,2,28. 11. 2017 17:43
43,Návrh na zøízení SK GIBS a zpùsobu jejího ustavení nebo volby,2,28. 11. 2017 17:44
44,Návrh na zøízení SK GIBS a zpùsobu jejího ustavení nebo volby,2,28. 11. 2017 17:45
45,Návrh na zøízení SK GIBS a zpùsobu jejího ustavení nebo volby,2,28. 11. 2017 17:46
46,Návrh na zøízení SK KPO,2,28. 11. 2017 17:51
47,Návrh na zøízení SK KPO,2,28. 11. 2017 17:51
48,Návrh na zøízení SK KPO,2,28. 11. 2017 17:52
49,Návrh na zøízení SK KPO,2,28. 11. 2017 17:52
50,Návrh na ustavení SK CEÚ,2,28. 11. 2017 17:57
51,Návrh na ustavení SK CEÚ,2,28. 11. 2017 17:57
52,Návrh na ustavení SK CEÚ,2,28. 11. 2017 17:58
53,Návrh na ustavení SK CEÚ,2,28. 11. 2017 17:59
54,Návrh na zøízení Stálé komise pro kontrolu BIS,2,28. 11. 2017 18:32
55,Návrh na zøízení Stálé komise pro kontrolu BIS,2,28. 11. 2017 18:32
56,Návrh na zøízení stálé komise pro kontrolu NBÚ,2,28. 11. 2017 18:37
57,Návrh na zøízení stálé komise pro kontrolu NBÚ,2,28. 11. 2017 18:38
58,Návrh na zøízení Stálé komise pro kontrolu VZ,2,28. 11. 2017 18:41
59,Návrh na zøízení Stálé komise pro kontrolu VZ,2,28. 11. 2017 18:42
60,Návrh na zøízení SK FAÚ,2,28. 11. 2017 18:45
61,Návrh na zøízení SK FAÚ,2,28. 11. 2017 18:45
62,Návrh na zøízení SK NÚKIB,2,28. 11. 2017 18:50
63,Návrh na zøízení SK NÚKIB,2,28. 11. 2017 18:50
64,Návrh na stanovení poètu poslancù ve stálıch delegacích,2,28. 11. 2017 19:12
65,Návrh na úhradu volebních nákladù za volby do PS v roce 2013,2,28. 11. 2017 19:33
66,Poøad schùze,2,30. 11. 2017 9:04
67,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:09
68,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:10
69,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:12
70,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:16
71,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:16
72,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:17
73,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:18
74,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:18
75,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:19
76,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:19
77,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:20
78,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:21
79,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:27
80,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:28
81,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:28
82,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:29
83,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:30
84,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:30
85,Náv. na potvrzení pøedsedù vıborù PS,2,30. 11. 2017 9:31
86,Návrh èasového harmonogramu projednávání SR 2018,2,30. 11. 2017 9:38
87,ádost o vyslovení souhlasu s tr. stíháním poslancù,2,30. 11. 2017 9:41
88,ádost o vyslovení souhlasu PS k trestnímu stíhání poslance,2,30. 11. 2017 9:44
